fold,window,date,expiry,tau,k,method,iv_actual,iv_pred
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.1106912818426271,SVI+PCHIP,0.17122825240052725,0.1757348562428441
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.09267277633994886,SVI+PCHIP,0.15606769151559716,0.1637484587695748
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.08378382892270274,SVI+PCHIP,0.15338241640250988,0.1579781810177201
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.07497319924054788,SVI+PCHIP,0.15170707898669084,0.1523915657825058
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.05758145652867876,SVI+PCHIP,0.15092286319943263,0.1418827601190915
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.048997712837287204,SVI+PCHIP,0.14787006477904274,0.13701943653533386
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.04048702316937859,SVI+PCHIP,0.14453631257751523,0.1324565134266701
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.032048154523514,SVI+PCHIP,0.1413273292379257,0.12822315934708947
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.023679904852997306,SVI+PCHIP,0.13957096163779023,0.12434719781332515
17,c1,2020-01-01,2020-02-27,0.15616438356164383,-0.015381102038302242,SVI+PCHIP,0.13500180645296775,0.12085428403425631
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.009109917969993555,SVI+PCHIP,0.12068476614887896,0.11287955598791993
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.017142089667257783,SVI+PCHIP,0.12007566637039617,0.1111018850406219
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.025110259316434628,SVI+PCHIP,0.11756238587581042,0.10977389209095069
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.03301543882354788,SVI+PCHIP,0.11440026821962301,0.10889241762288654
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.04085861628457374,SVI+PCHIP,0.11256130596671976,0.1084485835745492
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.04864075672662866,SVI+PCHIP,0.11306455654287655,0.10842833174712073
17,c1,2020-01-01,2020-02-27,0.15616438356164383,0.05636280282053915,SVI+PCHIP,0.11389060783788606,0.10881322646512476
